field_id	title	notes
27551	Area of G+S-frontomargin (right hemisphere)	Area of G+S-frontomargin in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27552	Area of G+S-occipital-inf (right hemisphere)	Area of G+S-occipital-inf in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27553	Area of G+S-paracentral (right hemisphere)	Area of G+S-paracentral in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27554	Area of G+S-subcentral (right hemisphere)	Area of G+S-subcentral in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27555	Area of G+S-transv-frontopol (right hemisphere)	Area of G+S-transv-frontopol in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27556	Area of G+S-cingul-Ant (right hemisphere)	Area of G+S-cingul-Ant in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27557	Area of G+S-cingul-Mid-Ant (right hemisphere)	Area of G+S-cingul-Mid-Ant in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27558	Area of G+S-cingul-Mid-Post (right hemisphere)	Area of G+S-cingul-Mid-Post in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27559	Area of G-cingul-Post-dorsal (right hemisphere)	Area of G-cingul-Post-dorsal in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27560	Area of G-cingul-Post-ventral (right hemisphere)	Area of G-cingul-Post-ventral in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27561	Area of G-cuneus (right hemisphere)	Area of G-cuneus in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27562	Area of G-front-inf-Opercular (right hemisphere)	Area of G-front-inf-Opercular in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27563	Area of G-front-inf-Orbital (right hemisphere)	Area of G-front-inf-Orbital in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27564	Area of G-front-inf-Triangul (right hemisphere)	Area of G-front-inf-Triangul in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27565	Area of G-front-middle (right hemisphere)	Area of G-front-middle in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27566	Area of G-front-sup (right hemisphere)	Area of G-front-sup in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27567	Area of G-Ins-lg+S-cent-ins (right hemisphere)	Area of G-Ins-lg+S-cent-ins in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27568	Area of G-insular-short (right hemisphere)	Area of G-insular-short in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27569	Area of G-occipital-middle (right hemisphere)	Area of G-occipital-middle in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27570	Area of G-occipital-sup (right hemisphere)	Area of G-occipital-sup in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27571	Area of G-oc-temp-lat-fusifor (right hemisphere)	Area of G-oc-temp-lat-fusifor in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27572	Area of G-oc-temp-med-Lingual (right hemisphere)	Area of G-oc-temp-med-Lingual in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27573	Area of G-oc-temp-med-Parahip (right hemisphere)	Area of G-oc-temp-med-Parahip in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27574	Area of G-orbital (right hemisphere)	Area of G-orbital in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27575	Area of G-pariet-inf-Angular (right hemisphere)	Area of G-pariet-inf-Angular in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27576	Area of G-pariet-inf-Supramar (right hemisphere)	Area of G-pariet-inf-Supramar in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27577	Area of G-parietal-sup (right hemisphere)	Area of G-parietal-sup in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27578	Area of G-postcentral (right hemisphere)	Area of G-postcentral in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27579	Area of G-precentral (right hemisphere)	Area of G-precentral in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27580	Area of G-precuneus (right hemisphere)	Area of G-precuneus in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27581	Area of G-rectus (right hemisphere)	Area of G-rectus in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27582	Area of G-subcallosal (right hemisphere)	Area of G-subcallosal in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27583	Area of G-temp-sup-G-T-transv (right hemisphere)	Area of G-temp-sup-G-T-transv in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27584	Area of G-temp-sup-Lateral (right hemisphere)	Area of G-temp-sup-Lateral in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27585	Area of G-temp-sup-Plan-polar (right hemisphere)	Area of G-temp-sup-Plan-polar in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27586	Area of G-temp-sup-Plan-tempo (right hemisphere)	Area of G-temp-sup-Plan-tempo in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27587	Area of G-temporal-inf (right hemisphere)	Area of G-temporal-inf in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27588	Area of G-temporal-middle (right hemisphere)	Area of G-temporal-middle in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27589	Area of Lat-Fis-ant-Horizont (right hemisphere)	Area of Lat-Fis-ant-Horizont in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27590	Area of Lat-Fis-ant-Vertical (right hemisphere)	Area of Lat-Fis-ant-Vertical in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27591	Area of Lat-Fis-post (right hemisphere)	Area of Lat-Fis-post in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27592	Area of Pole-occipital (right hemisphere)	Area of Pole-occipital in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27593	Area of Pole-temporal (right hemisphere)	Area of Pole-temporal in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27594	Area of S-calcarine (right hemisphere)	Area of S-calcarine in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27595	Area of S-central (right hemisphere)	Area of S-central in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27596	Area of S-cingul-Marginalis (right hemisphere)	Area of S-cingul-Marginalis in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27597	Area of S-circular-insula-ant (right hemisphere)	Area of S-circular-insula-ant in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27598	Area of S-circular-insula-inf (right hemisphere)	Area of S-circular-insula-inf in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27599	Area of S-circular-insula-sup (right hemisphere)	Area of S-circular-insula-sup in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27600	Area of S-collat-transv-ant (right hemisphere)	Area of S-collat-transv-ant in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27601	Area of S-collat-transv-post (right hemisphere)	Area of S-collat-transv-post in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27602	Area of S-front-inf (right hemisphere)	Area of S-front-inf in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27603	Area of S-front-middle (right hemisphere)	Area of S-front-middle in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27604	Area of S-front-sup (right hemisphere)	Area of S-front-sup in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27605	Area of S-interm-prim-Jensen (right hemisphere)	Area of S-interm-prim-Jensen in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27606	Area of S-intrapariet+P-trans (right hemisphere)	Area of S-intrapariet+P-trans in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27607	Area of S-oc-middle+Lunatus (right hemisphere)	Area of S-oc-middle+Lunatus in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
27608	Area of S-oc-sup+transversal (right hemisphere)	Area of S-oc-sup+transversal in the right hemisphere generated by parcellation of the white surface using Destrieux (a2009s) parcellation
